record_id,timestamp_utc,site_id,equipment_id,equipment_type,location,data_split,operating_state,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,active_source,mains_voltage,generator_voltage,transfer_status,breaker_status,room_temperature_c,intruder_alarm,fire_alarm,voltage_deviation_pct,temperature_change_c_per_hour,target_fault_active,target_failure_type,target_risk_level,target_maintenance_required
2,2025-01-01T00:00:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.991445,0.130526,0.433884,-0.900969,MAINS,230.5,0,NORMAL,CLOSED,27.31,false,false,0.22,0,0,,NORMAL,0
9,2025-01-01T00:05:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.994056,0.108867,0.433884,-0.900969,MAINS,230.85,0,NORMAL,CLOSED,27.51,false,false,0.37,0,0,,NORMAL,0
16,2025-01-01T00:10:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.996195,0.087156,0.433884,-0.900969,MAINS,230.01,0,NORMAL,CLOSED,26.4,false,false,0,0,0,,NORMAL,0
23,2025-01-01T00:15:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.997859,0.065403,0.433884,-0.900969,MAINS,229.88,0,NORMAL,CLOSED,27.3,false,false,0.05,0,0,,NORMAL,0
30,2025-01-01T00:20:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.999048,0.043619,0.433884,-0.900969,MAINS,230.68,0,NORMAL,CLOSED,26.79,false,false,0.3,0,0,,NORMAL,0
37,2025-01-01T00:25:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.999762,0.021815,0.433884,-0.900969,MAINS,230.16,0,NORMAL,CLOSED,28.13,false,false,0.07,0,0,,NORMAL,0
44,2025-01-01T00:30:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,1,0,0.433884,-0.900969,MAINS,230.24,0,NORMAL,CLOSED,26.8,false,false,0.1,0,0,,NORMAL,0
51,2025-01-01T00:35:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.999762,-0.021815,0.433884,-0.900969,MAINS,231.28,0,NORMAL,CLOSED,27.53,false,false,0.56,0,0,,NORMAL,0
58,2025-01-01T00:40:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.999048,-0.043619,0.433884,-0.900969,MAINS,230.87,0,NORMAL,CLOSED,26.86,false,false,0.38,0,0,,NORMAL,0
65,2025-01-01T00:45:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.997859,-0.065403,0.433884,-0.900969,MAINS,230.44,0,NORMAL,CLOSED,27.77,false,false,0.19,0,0,,NORMAL,0
72,2025-01-01T00:50:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.996195,-0.087156,0.433884,-0.900969,MAINS,230.6,0,NORMAL,CLOSED,26.59,false,false,0.26,0,0,,NORMAL,0
79,2025-01-01T00:55:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.994056,-0.108867,0.433884,-0.900969,MAINS,231.97,0,NORMAL,CLOSED,26.6,false,false,0.85,0,0,,NORMAL,0
86,2025-01-01T01:00:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.991445,-0.130526,0.433884,-0.900969,MAINS,230.23,0,NORMAL,CLOSED,26.37,false,false,0.1,-0.94,0,,NORMAL,0
93,2025-01-01T01:05:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.988362,-0.152123,0.433884,-0.900969,MAINS,230.53,0,NORMAL,CLOSED,27.11,false,false,0.23,-0.4,0,,NORMAL,0
100,2025-01-01T01:10:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.984808,-0.173648,0.433884,-0.900969,MAINS,230.84,0,NORMAL,CLOSED,26.83,false,false,0.36,0.43,0,,NORMAL,0
107,2025-01-01T01:15:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.980785,-0.19509,0.433884,-0.900969,MAINS,231.18,0,NORMAL,CLOSED,26.7,false,false,0.51,-0.6,0,,NORMAL,0
114,2025-01-01T01:20:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.976296,-0.21644,0.433884,-0.900969,MAINS,231.76,0,NORMAL,CLOSED,26.56,false,false,0.76,-0.23,0,,NORMAL,0
121,2025-01-01T01:25:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.971342,-0.237686,0.433884,-0.900969,MAINS,230.02,0,NORMAL,CLOSED,26.73,false,false,0.01,-1.4,0,,NORMAL,0
128,2025-01-01T01:30:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.965926,-0.258819,0.433884,-0.900969,MAINS,231.34,0,NORMAL,CLOSED,27.1,false,false,0.58,0.3,0,,NORMAL,0
135,2025-01-01T01:35:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.96005,-0.279829,0.433884,-0.900969,MAINS,231.24,0,NORMAL,CLOSED,26.87,false,false,0.54,-0.66,0,,NORMAL,0
142,2025-01-01T01:40:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.953717,-0.300706,0.433884,-0.900969,MAINS,231.63,0,NORMAL,CLOSED,26.93,false,false,0.71,0.07,0,,NORMAL,0
149,2025-01-01T01:45:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.94693,-0.321439,0.433884,-0.900969,MAINS,231.27,0,NORMAL,CLOSED,27.05,false,false,0.55,-0.72,0,,NORMAL,0
156,2025-01-01T01:50:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.939693,-0.34202,0.433884,-0.900969,MAINS,231.41,0,NORMAL,CLOSED,27.28,false,false,0.61,0.69,0,,NORMAL,0
163,2025-01-01T01:55:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.932008,-0.362438,0.433884,-0.900969,MAINS,230.89,0,NORMAL,CLOSED,26.97,false,false,0.39,0.37,0,,NORMAL,0
170,2025-01-01T02:00:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.92388,-0.382683,0.433884,-0.900969,MAINS,230.57,0,NORMAL,CLOSED,27.57,false,false,0.25,1.2,0,,NORMAL,0
177,2025-01-01T02:05:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.915311,-0.402747,0.433884,-0.900969,MAINS,231.65,0,NORMAL,CLOSED,27.23,false,false,0.72,0.12,0,,NORMAL,0
184,2025-01-01T02:10:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.906308,-0.422618,0.433884,-0.900969,MAINS,231.78,0,NORMAL,CLOSED,26.99,false,false,0.77,0.16,0,,NORMAL,0
191,2025-01-01T02:15:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.896873,-0.442289,0.433884,-0.900969,MAINS,230.65,0,NORMAL,CLOSED,27.38,false,false,0.28,0.68,0,,NORMAL,0
198,2025-01-01T02:20:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.887011,-0.461749,0.433884,-0.900969,MAINS,231.26,0,NORMAL,CLOSED,26.31,false,false,0.55,-0.25,0,,NORMAL,0
205,2025-01-01T02:25:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.876727,-0.480989,0.433884,-0.900969,MAINS,231.69,0,NORMAL,CLOSED,25.95,false,false,0.73,-0.78,0,,NORMAL,0
212,2025-01-01T02:30:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.866025,-0.5,0.433884,-0.900969,MAINS,230.52,0,NORMAL,CLOSED,26.65,false,false,0.23,-0.45,0,,NORMAL,0
219,2025-01-01T02:35:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.854912,-0.518773,0.433884,-0.900969,MAINS,229.78,0,NORMAL,CLOSED,26.82,false,false,0.1,-0.05,0,,NORMAL,0
226,2025-01-01T02:40:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.843391,-0.5373,0.433884,-0.900969,MAINS,230.12,0,NORMAL,CLOSED,25.95,false,false,0.05,-0.98,0,,NORMAL,0
233,2025-01-01T02:45:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.83147,-0.55557,0.433884,-0.900969,MAINS,231.39,0,NORMAL,CLOSED,26.95,false,false,0.61,-0.1,0,,NORMAL,0
240,2025-01-01T02:50:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.819152,-0.573576,0.433884,-0.900969,MAINS,230.96,0,NORMAL,CLOSED,26.97,false,false,0.42,-0.31,0,,NORMAL,0
247,2025-01-01T02:55:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.806445,-0.59131,0.433884,-0.900969,MAINS,230.22,0,NORMAL,CLOSED,26.77,false,false,0.1,-0.2,0,,NORMAL,0
254,2025-01-01T03:00:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.793353,-0.608761,0.433884,-0.900969,MAINS,229.96,0,NORMAL,CLOSED,27.32,false,false,0.02,-0.25,0,,NORMAL,0
261,2025-01-01T03:05:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.779884,-0.625923,0.433884,-0.900969,MAINS,231.05,0,NORMAL,CLOSED,27.57,false,false,0.46,0.34,0,,NORMAL,0
268,2025-01-01T03:10:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.766044,-0.642788,0.433884,-0.900969,MAINS,228.91,0,NORMAL,CLOSED,26.71,false,false,0.48,-0.28,0,,NORMAL,0
275,2025-01-01T03:15:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.75184,-0.659346,0.433884,-0.900969,MAINS,231.9,0,NORMAL,CLOSED,26.22,false,false,0.83,-1.16,0,,NORMAL,0
282,2025-01-01T03:20:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.737277,-0.67559,0.433884,-0.900969,MAINS,231.64,0,NORMAL,CLOSED,26.67,false,false,0.71,0.36,0,,NORMAL,0
289,2025-01-01T03:25:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.722364,-0.691513,0.433884,-0.900969,MAINS,230.32,0,NORMAL,CLOSED,26.76,false,false,0.14,0.81,0,,NORMAL,0
296,2025-01-01T03:30:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.707107,-0.707107,0.433884,-0.900969,MAINS,231.46,0,NORMAL,CLOSED,27.02,false,false,0.63,0.37,0,,NORMAL,0
303,2025-01-01T03:35:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.691513,-0.722364,0.433884,-0.900969,MAINS,231.1,0,NORMAL,CLOSED,26.52,false,false,0.48,-0.3,0,,NORMAL,0
310,2025-01-01T03:40:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.67559,-0.737277,0.433884,-0.900969,MAINS,231.81,0,NORMAL,CLOSED,26.72,false,false,0.79,0.77,0,,NORMAL,0
317,2025-01-01T03:45:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.659346,-0.75184,0.433884,-0.900969,MAINS,230.32,0,NORMAL,CLOSED,27.35,false,false,0.14,0.4,0,,NORMAL,0
324,2025-01-01T03:50:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.642788,-0.766044,0.433884,-0.900969,MAINS,231.91,0,NORMAL,CLOSED,27.5,false,false,0.83,0.53,0,,NORMAL,0
331,2025-01-01T03:55:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.625923,-0.779884,0.433884,-0.900969,MAINS,230.83,0,NORMAL,CLOSED,26.89,false,false,0.36,0.12,0,,NORMAL,0
338,2025-01-01T04:00:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.608761,-0.793353,0.433884,-0.900969,MAINS,232.74,0,NORMAL,CLOSED,26.71,false,false,1.19,-0.61,0,,NORMAL,0
345,2025-01-01T04:05:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.59131,-0.806445,0.433884,-0.900969,MAINS,230.4,0,NORMAL,CLOSED,27.48,false,false,0.17,-0.09,0,,NORMAL,0
352,2025-01-01T04:10:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.573576,-0.819152,0.433884,-0.900969,MAINS,230.02,0,NORMAL,CLOSED,26.5,false,false,0.01,-0.21,0,,NORMAL,0
359,2025-01-01T04:15:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.55557,-0.83147,0.433884,-0.900969,MAINS,231.11,0,NORMAL,CLOSED,26.4,false,false,0.48,0.18,0,,NORMAL,0
366,2025-01-01T04:20:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.5373,-0.843391,0.433884,-0.900969,MAINS,231.74,0,NORMAL,CLOSED,27.05,false,false,0.76,0.38,0,,NORMAL,0
373,2025-01-01T04:25:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.518773,-0.854912,0.433884,-0.900969,MAINS,232.02,0,NORMAL,CLOSED,27.3,false,false,0.88,0.54,0,,NORMAL,0
380,2025-01-01T04:30:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.5,-0.866025,0.433884,-0.900969,MAINS,231.95,0,NORMAL,CLOSED,26.36,false,false,0.85,-0.66,0,,NORMAL,0
387,2025-01-01T04:35:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.480989,-0.876727,0.433884,-0.900969,MAINS,231.08,0,NORMAL,CLOSED,26.95,false,false,0.47,0.43,0,,NORMAL,0
394,2025-01-01T04:40:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.461749,-0.887011,0.433884,-0.900969,MAINS,230.99,0,NORMAL,CLOSED,27.44,false,false,0.43,0.72,0,,NORMAL,0
401,2025-01-01T04:45:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.442289,-0.896873,0.433884,-0.900969,MAINS,232.27,0,NORMAL,CLOSED,27.13,false,false,0.99,-0.22,0,,NORMAL,0
408,2025-01-01T04:50:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.422618,-0.906308,0.433884,-0.900969,MAINS,232.15,0,NORMAL,CLOSED,27.25,false,false,0.94,-0.25,0,,NORMAL,0
415,2025-01-01T04:55:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.402747,-0.915311,0.433884,-0.900969,MAINS,231.38,0,NORMAL,CLOSED,26.88,false,false,0.6,-0.01,0,,NORMAL,0
422,2025-01-01T05:00:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.382683,-0.92388,0.433884,-0.900969,MAINS,231.67,0,NORMAL,CLOSED,27.39,false,false,0.73,0.68,0,,NORMAL,0
429,2025-01-01T05:05:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.362438,-0.932008,0.433884,-0.900969,MAINS,231.88,0,NORMAL,CLOSED,26.96,false,false,0.82,-0.52,0,,NORMAL,0
