record_id,timestamp_utc,site_id,equipment_id,equipment_type,location,data_split,operating_state,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,voltage_L1,voltage_L2,voltage_L3,current_L1,current_L2,current_L3,fuel_level_pct,frequency_hz,running_status,breaker_status,room_temperature_c,intruder_alarm,fire_alarm,phase_voltage_imbalance_v,phase_current_imbalance_pct,voltage_deviation_pct,temperature_change_c_per_hour,target_failure_within_15_min,target_failure_within_60_min,target_failure_within_6_hours,target_time_to_failure_min,target_fault_active,target_failure_type,target_risk_level,target_maintenance_required
1,2025-01-01T00:00:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.991445,0.130526,0.433884,-0.900969,0,0,0,0,0,0,87.94,0,STANDBY,OPEN,28.14,false,false,0,0,0,0,0,0,0,,0,,NORMAL,0
8,2025-01-01T00:05:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.994056,0.108867,0.433884,-0.900969,0,0,0,0,0,0,87.89,0,STANDBY,OPEN,28.09,false,false,0,0,0,0,0,0,0,,0,,NORMAL,0
15,2025-01-01T00:10:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.996195,0.087156,0.433884,-0.900969,0,0,0,0,0,0,88.02,0,STANDBY,OPEN,27.8,false,false,0,0,0,0,0,0,0,,0,,NORMAL,0
22,2025-01-01T00:15:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.997859,0.065403,0.433884,-0.900969,0,0,0,0,0,0,87.95,0,STANDBY,OPEN,27.96,false,false,0,0,0,0,0,0,0,,0,,NORMAL,0
29,2025-01-01T00:20:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.999048,0.043619,0.433884,-0.900969,0,0,0,0,0,0,87.92,0,STANDBY,OPEN,27.71,false,false,0,0,0,0,0,0,0,,0,,NORMAL,0
36,2025-01-01T00:25:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.999762,0.021815,0.433884,-0.900969,0,0,0,0,0,0,88,0,STANDBY,OPEN,28.09,false,false,0,0,0,0,0,0,0,,0,,NORMAL,0
43,2025-01-01T00:30:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,1,0,0.433884,-0.900969,0,0,0,0,0,0,87.93,0,STANDBY,OPEN,28.7,false,false,0,0,0,0,0,0,0,,0,,NORMAL,0
50,2025-01-01T00:35:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.999762,-0.021815,0.433884,-0.900969,0,0,0,0,0,0,88.18,0,STANDBY,OPEN,28.74,false,false,0,0,0,0,0,0,0,,0,,NORMAL,0
57,2025-01-01T00:40:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.999048,-0.043619,0.433884,-0.900969,0,0,0,0,0,0,88.05,0,STANDBY,OPEN,28.04,false,false,0,0,0,0,0,0,0,,0,,NORMAL,0
64,2025-01-01T00:45:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.997859,-0.065403,0.433884,-0.900969,0,0,0,0,0,0,88.21,0,STANDBY,OPEN,27.48,false,false,0,0,0,0,0,0,0,,0,,NORMAL,0
71,2025-01-01T00:50:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.996195,-0.087156,0.433884,-0.900969,0,0,0,0,0,0,87.94,0,STANDBY,OPEN,27.66,false,false,0,0,0,0,0,0,0,,0,,NORMAL,0
78,2025-01-01T00:55:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.994056,-0.108867,0.433884,-0.900969,0,0,0,0,0,0,87.9,0,STANDBY,OPEN,27.58,false,false,0,0,0,0,0,0,0,,0,,NORMAL,0
85,2025-01-01T01:00:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.991445,-0.130526,0.433884,-0.900969,0,0,0,0,0,0,88.07,0,STANDBY,OPEN,27.4,false,false,0,0,0,-0.74,0,0,0,,0,,NORMAL,0
92,2025-01-01T01:05:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.988362,-0.152123,0.433884,-0.900969,0,0,0,0,0,0,87.88,0,STANDBY,OPEN,28.73,false,false,0,0,0,0.64,0,0,0,,0,,NORMAL,0
99,2025-01-01T01:10:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.984808,-0.173648,0.433884,-0.900969,0,0,0,0,0,0,87.96,0,STANDBY,OPEN,28.18,false,false,0,0,0,0.38,0,0,0,,0,,NORMAL,0
