record_id,timestamp_utc,site_id,equipment_id,equipment_type,location,data_split,operating_state,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,voltage_R,voltage_Y,voltage_B,current_R,current_Y,current_B,main_breaker_status,room_temperature_c,intruder_alarm,fire_alarm,phase_voltage_imbalance_v,phase_current_imbalance_pct,voltage_deviation_pct,temperature_change_c_per_hour,target_failure_within_15_min,target_failure_within_60_min,target_failure_within_6_hours,target_time_to_failure_min,target_fault_active,target_failure_type,target_risk_level,target_maintenance_required
3,2025-01-01T00:00:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.991445,0.130526,0.433884,-0.900969,229.71,229.86,229.69,60.21,60.47,60.33,CLOSED,30.63,false,false,0.17,0.44,0.11,0,0,0,0,,0,,NORMAL,0
10,2025-01-01T00:05:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.994056,0.108867,0.433884,-0.900969,229.5,230.18,229.7,61.1,65.55,60.15,CLOSED,29.68,false,false,0.68,8.68,0.09,0,0,0,0,,0,,NORMAL,0
17,2025-01-01T00:10:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.996195,0.087156,0.433884,-0.900969,232.23,228.83,229.88,62.07,62.2,62.55,CLOSED,29.67,false,false,3.4,0.77,0.14,0,0,0,0,,0,,NORMAL,0
24,2025-01-01T00:15:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.997859,0.065403,0.433884,-0.900969,230.33,230.66,232.11,62.38,60.64,61.17,CLOSED,29.95,false,false,1.78,2.84,0.45,0,0,0,0,,0,,NORMAL,0
31,2025-01-01T00:20:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.999048,0.043619,0.433884,-0.900969,229.76,230.13,230.7,61.1,60.6,61.46,CLOSED,30.38,false,false,0.95,1.41,0.09,0,0,0,0,,0,,NORMAL,0
38,2025-01-01T00:25:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.999762,0.021815,0.433884,-0.900969,230.7,232.2,231.55,61.88,61,62.24,CLOSED,30.35,false,false,1.5,2.01,0.65,0,0,0,0,,0,,NORMAL,0
45,2025-01-01T00:30:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,1,0,0.433884,-0.900969,230.49,231.15,231,60.53,60.11,60.97,CLOSED,29.7,false,false,0.66,1.42,0.38,0,0,0,0,,0,,NORMAL,0
52,2025-01-01T00:35:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.999762,-0.021815,0.433884,-0.900969,232.32,232.42,232.83,62.31,63.89,60.14,CLOSED,30.01,false,false,0.51,6.04,1.1,0,0,0,0,,0,,NORMAL,0
59,2025-01-01T00:40:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.999048,-0.043619,0.433884,-0.900969,231.25,230.54,231.88,63.09,63.17,62.61,CLOSED,29.74,false,false,1.34,0.89,0.53,0,0,0,0,,0,,NORMAL,0
66,2025-01-01T00:45:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.997859,-0.065403,0.433884,-0.900969,231.44,231.62,230.21,62.34,65.77,63.94,CLOSED,30.43,false,false,1.42,5.35,0.47,0,0,0,0,,0,,NORMAL,0
